発注書（仕入先）,発注書_商品名,発注_納価,発注_売価,発注数,発注書_JAN/備考,見積書_仕入先,見積書_商品名,見積書_JANコード,見積書_卸価格,見積書_上代,突合結果
白亜ダイシン様発注書,北海道アールグレイミルクジャム,650.0,800,12,4562182193957,ノースファームストック,北海道アールグレイミルクジャム,4562182193957,450,750,JAN一致
白亜ダイシン様発注書,北海道ほうじ茶ミルクジャム,650.0,800,12,4562182193940,ノースファームストック,北海道ほうじ茶ミルクジャム,4562182193940,450,750,JAN一致
白亜ダイシン様発注書,ミルクキャンディ,310.0,380,40,4562182194787,ノースファームストック,ミルクキャンディ,4562182194787,228,380,JAN一致
白亜ダイシン様発注書,北海道バジルソース,750.0,900,12,4562182191687,ノースファームストック,北海道バジルソース,4562182191687,504,840,JAN一致
白亜ダイシン様発注書,北海道焼肉ソース,610.0,750,12,4562182192189,ノースファームストック,北海道焼肉ソース,4562182192189,414,690,JAN一致
十勝新村牧場発注書,ミルクジャムプレーン,741.0,900,12,JANお知らせください,十勝しんむら牧場,ミルクジャムプレーン,4541290200030,630,900,見積からJAN特定
十勝新村牧場発注書,ミルクジャムバニラ,741.0,900,12,JANお知らせください,十勝しんむら牧場,ミルクジャムバニラ,4541290200047,630,900,見積からJAN特定
十勝新村牧場発注書,ミルクジャム シナモン,741.0,900,8,JANお知らせください,十勝しんむら牧場,ミルクジャムシナモン,4541290200061,630,900,見積からJAN特定
十勝新村牧場発注書,ミルクジャム ジャワティー,741.0,900,8,JANお知らせください,十勝しんむら牧場,ミルクジャムジャワティー,4541290200153,630,900,見積からJAN特定
十勝新村牧場発注書,ミルクジャム モカ,741.0,900,8,JANお知らせください,十勝しんむら牧場,ミルクジャムモカ,4541290200160,630,900,見積からJAN特定
十勝新村牧場発注書,ミルクジャム ラムレーズン,782.0,1000,6,JANお知らせください,十勝しんむら牧場,ミルクジャムラムレーズン,4541290200184,665,950,見積からJAN特定
十勝新村牧場発注書,ミルクジャム ショコラ,782.0,1000,6,JANお知らせください,十勝しんむら牧場,ミルクジャムショコラ,4541290200191,665,950,見積からJAN特定
十勝新村牧場発注書,ミルクジャム メープル,865.0,1050,6,JANお知らせください,十勝しんむら牧場,ミルクジャムメープル,4541290200238,735,1050,見積からJAN特定
十勝新村牧場発注書,ミルクジャム 蜂蜜,865.0,1050,6,JANお知らせください,十勝しんむら牧場,はちみつミルクジャム,4541290200252,735,1050,見積からJAN特定
十勝新村牧場発注書,スコーン,618.0,750,20,JANお知らせください,十勝しんむら牧場,スコーン,4541290400003,525,750,見積からJAN特定
三海幸様発注書,あずき甘納豆おちちまめ,200.0,280,30,4580403391180,三海幸,あずき甘納豆おちちまめ,4580403391180,156,260,JAN一致
三海幸様発注書,おちちくるみ,200.0,280,30,4580403391203,三海幸,おちちくるみ,4580403391203,156,260,JAN一致
三海幸様発注書,宇治抹茶あずき甘納豆おちちまめ,200.0,280,20,4580403391210,三海幸,（見積書に該当なし）,4580403391210（発注書記載）,,, 発注書にJANあり・見積書に未掲載
三海幸様発注書,がっつりタコ風味のおつまみイカ,400.0,500,20,4580403390978,三海幸,がっつりタコ風味のおつまみイカ,4580403390978,300,500,JAN一致
三海幸様発注書,がっつりチーズのやわらかイカ,400.0,500,20,4580403390985,三海幸,がっつりチーズのやわらかイカ,4580403390985,300,500,JAN一致
三海幸様発注書,パリポリ焼昆布,320.0,400,20,4580403390893,三海幸,パリポリ焼き昆布,4580403390893,237,395,JAN一致
ベジタブルワークス様発注書,レトルトとうもろこし,390.0,510,60,4573247650049,（見積書なし）,,4573247650049（発注書記載）,,,発注書にJANあり・見積書なし
ベジタブルワークス様発注書,ゆりの結晶,440.0,550,40,4573247650070,（見積書なし）,,4573247650070（発注書記載）,,,発注書にJANあり・見積書なし
小樽うんがぷらす発注書,北海道産 紫花豆,480.0,630,16,4589429432839,（見積書なし）,,4589429432839（発注書記載）,,,発注書にJANあり・見積書なし
小樽うんがぷらす発注書,北海道産 虎豆,480.0,630,16,4589429432846,（見積書なし）,,4589429432846（発注書記載）,,,発注書にJANあり・見積書なし
小樽うんがぷらす発注書,北海道産 大正金時豆,480.0,630,16,4589429432853,（見積書なし）,,4589429432853（発注書記載）,,,発注書にJANあり・見積書なし
小樽うんがぷらす発注書,北海道産 鮭の醤油煮,560.0,750,24,4589429432907,（見積書なし）,,4589429432907（発注書記載）,,,発注書にJANあり・見積書なし
小樽うんがぷらす発注書,北海道産 秋刀魚水煮 柚子香味,560.0,750,24,4589429432914,（見積書なし）,,4589429432914（発注書記載）,,,発注書にJANあり・見積書なし
